,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Chelsea,38.0,26.0,3.0,9.0,73.0,32.0,41.0,87.0
Man City,38.0,24.0,7.0,7.0,83.0,38.0,45.0,79.0
Arsenal,38.0,22.0,7.0,9.0,71.0,36.0,35.0,75.0
Man United,38.0,20.0,8.0,10.0,62.0,37.0,25.0,70.0
Tottenham,38.0,19.0,12.0,7.0,58.0,53.0,5.0,64.0
Liverpool,38.0,18.0,12.0,8.0,52.0,48.0,4.0,62.0
Southampton,38.0,18.0,14.0,6.0,54.0,33.0,21.0,60.0
Swansea,38.0,16.0,14.0,8.0,46.0,49.0,-3.0,56.0
Stoke,38.0,15.0,14.0,9.0,48.0,45.0,3.0,54.0
Crystal Palace,38.0,13.0,16.0,9.0,47.0,51.0,-4.0,48.0
Everton,38.0,12.0,15.0,11.0,48.0,50.0,-2.0,47.0
West Ham,38.0,12.0,15.0,11.0,44.0,47.0,-3.0,47.0
West Brom,38.0,11.0,16.0,11.0,38.0,51.0,-13.0,44.0
Leicester,38.0,11.0,19.0,8.0,46.0,55.0,-9.0,41.0
Newcastle,38.0,10.0,19.0,9.0,40.0,63.0,-23.0,39.0
Aston Villa,38.0,10.0,20.0,8.0,31.0,57.0,-26.0,38.0
Sunderland,38.0,7.0,14.0,17.0,31.0,53.0,-22.0,38.0
Hull,38.0,8.0,19.0,11.0,33.0,51.0,-18.0,35.0
Burnley,38.0,7.0,19.0,12.0,28.0,53.0,-25.0,33.0
QPR,38.0,8.0,24.0,6.0,42.0,73.0,-31.0,30.0
